,GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
46769,501,417KEN,46771,1999-03-10,1999,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,8,Police Forces of Kenya (1978-2002),Military Forces of Kenya (1978-2002),1,18,Kenya,Marsabit,Moyale,Heillu/Manyatta,Wayegoda,3.51639,39.06917,2,BBC Monitoring,Police engage Ethiopian attackers in gunbattle,0,,,,,,,,,,,
46770,501,418KEN,46772,1999-03-10,1999,2,Violence against civilians,Military Forces of Ethiopia (1991-),,8,Civilians (Kenya),,7,78,Kenya,Marsabit,Moyale,Heillu/Manyatta,Anona,3.51639,39.06917,2,BBC Monitoring,Soldiers from Ethiopia attack Kenyan civilians while pursuing OLF rebels in Moyale district,0,,,,,,,,,,,
46771,501,419KEN,46773,1999-03-10,1999,2,Violence against civilians,Military Forces of Ethiopia (1991-),,8,Civilians (Kenya),,7,78,Kenya,Marsabit,Moyale,Heillu/Manyatta,Mado Adi,3.51639,39.06917,2,BBC Monitoring,Soldiers from Ethiopia attack Kenyan civilians while pursuing OLF rebels in Moyale district,0,,,,,,,,,,,
46772,501,420KEN,46774,1999-03-10,1999,1,Violence against civilians,Military Forces of Ethiopia (1991-),,8,Civilians (Kenya),,7,78,Kenya,Marsabit,Moyale,Sololo,Sololo,3.55,38.65,1,BBC Monitoring,Ethiopian military crosses border and attacks Kenyans while pursuing OLF fighters,0,,,,,,,,,,,
46773,501,421KEN,46775,1999-03-10,1999,1,Violence against civilians,Military Forces of Ethiopia (1991-),,8,Civilians (Kenya),,7,78,Kenya,Marsabit,Moyale,Heillu/Manyatta,Wayegoda,3.51639,39.06917,2,BBC Monitoring,Soldiers from Ethiopia attack Kenyan civilians while pursuing OLF rebels in Moyale district,0,,,,,,,,,,,
46774,501,422KEN,46776,1999-03-20,1999,1,Violence against civilians,Unidentified Armed Group (Kenya),,3,Civilians (International),,7,37,Kenya,Mandera,Mandera South,Elwak South,El Wak,2.80944,40.93583,2,Reuters,Unknown gunmen kill American aid worker at border with Somalia,0,,,,,,,,,,,
46775,501,423KEN,46777,1999-03-22,1999,1,Riots/Protests,Protesters (Kenya),,6,,,0,60,Kenya,Uasin Gishu,Ainabkoi,Kapsoya,Eldoret,0.516667,35.283333,1,All Africa,Students blockade Moi National Referral and Teaching Hospital,0,,,,,,,,,,,
46776,501,424KEN,46778,1999-03-23,1999,1,Riots/Protests,Protesters (Kenya),,6,,,0,60,Kenya,Uasin Gishu,Ainabkoi,Kapsoya,Eldoret,0.516667,35.283333,1,All Africa,Students blockade Moi National Referral and Teaching Hospital,0,,,,,,,,,,,
46777,501,425KEN,46779,1999-03-31,1999,1,Violence against civilians,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),,7,37,Kenya,Kajiado,Kajiado South,Kimana,Ongata Rongai,-2.75,37.3833,1,All Africa,Armed gangsters shoot dead director of International Technology Development Group NGO,1,,,,,,,,,,,
46778,501,426KEN,46780,1999-04-15,1999,3,Violence against civilians,Police Forces of Kenya (1978-2002),,1,Civilians (Kenya),,7,17,Kenya,Bungoma,Tongaren,Ndalu/ Tabani,Kolongolo,0.83333,35,2,All Africa,Police constable tortures innocent man to death,1,,,,,,,,,,,
46779,501,427KEN,46781,1999-04-24,1999,1,Riots/Protests,Rioters (Kenya),NDP: National Development Party,5,,,0,50,Kenya,Siaya,Ugunja,Ugunja,Ugunja,0.1825,34.29556,1,BBC Monitoring,Youths riot during controversial fundraising meeting,0,,,,,,,,,,,
46780,501,428KEN,46782,1999-04-24,1999,1,Battle-No change of territory,Military Forces of Kenya (1978-2002),,1,KANU: Kenya African National Union,NDP: National Development Party,3,13,Kenya,Meru,Tigania West,Kianjai,Tigania,0.166667,37.75,1,BBC Monitoring,Security forces clash with KANU and NDP supporters at election counting hall,0,,,,,,,,,,,
46781,501,429KEN,46783,1999-04-24,1999,1,Battle-No change of territory,FORD-Kenya: Forum for the Restoration of Democracy-Kenya,,3,NDP: National Development Party,,3,33,Kenya,Siaya,Ugunja,Ugunja,Ugunja,0.1825,34.29556,1,BBC Monitoring,NDP supporters clash with FORD-Kenya supporters,0,,,,,,,,,,,
46782,501,430KEN,46784,1999-04-24,1999,1,Battle-No change of territory,Police Forces of Kenya (1978-2002),,1,Unidentified Armed Group (Kenya),,3,13,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,BBC Monitoring,Armed bandits attack police officers guarding home of former director of Criminal Investigations Department,0,,,,,,,,,,,
46783,501,431KEN,46785,1999-04-24,1999,1,Riots/Protests,Police Forces of Kenya (1978-2002),,1,Rioters (Kenya),NDP: National Development Party,5,15,Kenya,Siaya,Ugunja,Ugunja,Ugunja,0.1825,34.29556,1,BBC Monitoring,Police battle rioting youths,0,,,,,,,,,,,
46784,501,432KEN,46786,1999-04-24,1999,1,Violence against civilians,Military Forces of Kenya (1978-2002),,1,Civilians (Kenya),,7,17,Kenya,Meru,Tigania West,Kianjai,Kianjai,0.166667,37.75,1,BBC Monitoring,Security forces injure civilians while forcing KANU and NDP supporters from an election counting hall,0,,,,,,,,,,,
46785,501,433KEN,46787,1999-04-24,1999,1,Violence against civilians,Rioters (Kenya),NDP: National Development Party,5,Civilians (Kenya),,7,57,Kenya,Siaya,Ugunja,Ugunja,Ugunja,0.1825,34.29556,1,BBC Monitoring,Rioting NDP youths attack civilians,0,,,,,,,,,,,
46786,501,434KEN,46788,1999-04-25,1999,1,Violence against civilians,KANU: Kenya African National Union,,3,Civilians (Kenya),,7,37,Kenya,Kiambu,Gatundu South,Ngenda,Mutomo,-1.03333,36.91667,1,All Africa,KANU youths attack woman opposition MP,0,,,,,,,,,,,
46787,501,435KEN,46789,1999-05-06,1999,1,Strategic development,Uganda Peoples Freedom Movement,,2,,,0,20,Kenya,Uasin Gishu,Ainabkoi,Kapsoya,Eldoret,0.516667,35.283333,3,BBC Monitoring,UPDF and Kenyan security forces arrest Ugandan rebel leader in western Kenya,0,,,,,,,,,,,
46788,501,436KEN,46790,1999-05-08,1999,1,Battle-No change of territory,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (1978-2002),,1,13,Kenya,Marsabit,Moyale,Moyale Township,Moyale,3.509374,39.052757,2,All Africa,Police clash with armed bandits,0,,,,,,,,,,,
46789,501,437KEN,46791,1999-05-08,1999,1,Remote violence,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),,7,37,Kenya,Marsabit,Moyale,Moyale Township,Moyale,3.509374,39.052757,2,All Africa,Government official killed by landmines planted presumably by armed bandits,0,,,,,,,,,,,
46790,501,438KEN,46792,1999-05-09,1999,1,Battle-No change of territory,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (1978-2002),,1,13,Kenya,Isiolo,Isiolo North,Chari,Waso Division,0.866667,38.38333,1,BBC Monitoring,Police battle cattle rustlers,0,,,,,,,,,,,
46791,501,439KEN,46793,1999-05-15,1999,3,Battle-No change of territory,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (1978-2002),,1,13,Kenya,Isiolo,Isiolo North,Cherab,Merti,1.0667,38.6667,1,BBC Monitoring,Police battle cattle rustlers; police death toll in dispute,0,,,,,,,,,,,
46792,501,440KEN,46794,1999-05-15,1999,3,Violence against civilians,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),,7,37,Kenya,Isiolo,Isiolo North,Cherab,Merti,1.0667,38.6667,1,BBC Monitoring,Cattle rustlers attack civilians and steal cattle,0,,,,,,,,,,,
46793,501,441KEN,46795,1999-05-19,1999,1,Violence against civilians,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),,7,37,Kenya,Laikipia,Laikipia West,Igwamiti,Nyahururu,0.0333,36.3667,2,All Africa,"Armed bandits ambush lorry, kill passenger",0,,,,,,,,,,,
46794,501,442KEN,46796,1999-05-20,1999,1,Battle-No change of territory,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (1978-2002),,1,13,Kenya,Laikipia,Laikipia West,Rumuruti Township,Rumuruti,0.3167,36.5,1,All Africa,"Armed gangsters attack police, steal weapons",0,,,,,,,,,,,
46795,501,443KEN,46797,1999-05-21,1999,1,Violence against civilians,Unidentified Armed Group (Kenya),,3,Civilians (International),,7,37,Kenya,Narok,Narok West,Siana,Maasai Mara Game Reserve,-1.49,35.143889,2,Reuters,Armed bandits attack foreign tourists in Maasai Mara game reserve,0,,,,,,,,,,,
46796,501,444KEN,46798,1999-05-22,1999,1,Battle-No change of territory,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (1978-2002),,1,13,Kenya,Muranga,Kandara,NgAraria,Muruka,-0.93333,37.05,1,All Africa,Police battle armed bandits,0,,,,,,,,,,,
46797,501,445KEN,46799,1999-05-23,1999,1,Battle-No change of territory,Unidentified Armed Group (Ethiopia),,3,Police Forces of Kenya (1978-2002),,1,13,Kenya,Marsabit,North Horr,Maikona,El-Hadhi,3.81667,37.55,1,BBC Monitoring,Police kill two Ethiopian bandits in gunbattle,2,,,,,,,,,,,
46798,501,446KEN,46800,1999-05-25,1999,2,Strategic development,OLF: Oromo Liberation Front,,2,,,0,20,Kenya,Marsabit,North Horr,Maikona,El Adi,3.81667,37.55,1,Xinhua,Kenyan army captures OLF rebels in Kenya,0,,,,,,,,,,,
46799,501,447KEN,46801,1999-05-25,1999,2,Strategic development,OLF: Oromo Liberation Front,,2,,,0,20,Kenya,Marsabit,North Horr,Maikona,El Adi,3.81667,37.55,1,Xinhua,OLF rebels sighted in Kenya,0,,,,,,,,,,,
46800,501,448KEN,46802,1999-05-25,1999,1,Violence against civilians,NDP: National Development Party,,3,Civilians (Kenya),,7,37,Kenya,Kisumu,Kisumu Central,Market Milimani,Kisumu,-0.1,34.75,1,All Africa,NDP party youths kidnap political activists who had criticized the party leadership,0,,,,,,,,,,,
46801,501,449KEN,46803,1999-06-05,1999,2,Battle-No change of territory,Military Forces of Ethiopia (1991-),,8,OLF: Oromo Liberation Front,,2,28,Kenya,Marsabit,North Horr,Dukana,Gurasakubu,3.98333,37.26667,1,BBC Monitoring,Ethiopian military battles OLF in Kenya,0,,,,,,,,,,,
46802,501,450KEN,46804,1999-06-06,1999,2,Strategic development,OLF: Oromo Liberation Front,,2,,,0,20,Kenya,Marsabit,North Horr,Dukana,El Yibo,4.11667,37.23333,2,BBC Monitoring,OLF camped at El Yibo wells,0,,,,,,,,,,,
46803,501,451KEN,46805,1999-06-06,1999,2,Battle-No change of territory,OLF: Oromo Liberation Front,,2,Military Forces of Kenya (1978-2002),,1,12,Kenya,Marsabit,Moyale,Obbu,Hoga Hills,3.35,38.7,1,BBC Monitoring,Soldiers kill OLF rebels in Kenya,0,,,,,,,,,,,
46804,501,452KEN,46806,1999-06-06,1999,2,Battle-No change of territory,OLF: Oromo Liberation Front,,2,Police Forces of Kenya (1978-2002),Military Forces of Ethiopia (1991-),1,12,Kenya,Marsabit,Moyale,Obbu,Hoga Hills,3.35,38.7,1,BBC Monitoring,Kenyan security forces and Ethiopian soldiers battle OLF fighters,6,,,,,,,,,,,
46805,501,453KEN,46807,1999-06-10,1999,1,Riots/Protests,Protesters (Kenya),,6,,,0,60,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,The Guardian,Opposition supporters stage peaceful protest in Nairobi; police violently disperse protest,0,,,,,,,,,,,
46806,501,454KEN,46808,1999-06-10,1999,1,Violence against civilians,Police Forces of Kenya (1978-2002),,1,Protesters (Kenya),,6,16,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,The Guardian,Opposition supporters stage peaceful protest in Nairobi; police violently disperse protest,0,,,,,,,,,,,
46807,501,455KEN,46809,1999-06-11,1999,1,Riots/Protests,Protesters (Kenya),,6,,,0,60,Kenya,Kitui,Kitui Central,Township,Kitui,-1.36667,38.01667,1,All Africa,Parents protest mismanagement of funds at local school,0,,,,,,,,,,,
46808,501,456KEN,46810,1999-06-12,1999,1,Riots/Protests,Rioters (Kenya),,5,,,0,50,Kenya,Embu,Manyatta,Kirimari,Embu,-0.53333,37.45,1,All Africa,Students riot after administration refuses to give them a half-term break,0,,,,,,,,,,,
46809,501,457KEN,46811,1999-06-15,1999,3,Strategic development,OLF: Oromo Liberation Front,,2,,,0,20,Kenya,Garissa,Garissa Township,Iftin,Garissa,-0.453568,39.646096,3,BBC Monitoring,OLF active in NE Province of Kenya,0,,,,,,,,,,,
46810,501,458KEN,46812,1999-06-15,1999,3,Strategic development,OLF: Oromo Liberation Front,,2,,,0,20,Kenya,Garissa,Garissa Township,Iftin,Garissa,-0.453568,39.646096,3,BBC Monitoring,OLF reportedly active in northern Kenya,0,,,,,,,,,,,
46811,501,459KEN,46813,1999-06-15,1999,1,Riots/Protests,Rioters (Kenya),,5,,,0,50,Kenya,Mombasa,Mvita,Tononoka,Mombasa,-4.05,39.66667,1,BBC Monitoring,Students riot over alleged corruption in the education system,0,,,,,,,,,,,
46812,501,460KEN,46814,1999-06-15,1999,1,Riots/Protests,Rioters (Kenya),,5,,,0,50,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,BBC Monitoring,Students riot over alleged corruption in the education system,0,,,,,,,,,,,
46813,501,461KEN,46815,1999-06-15,1999,1,Riots/Protests,Police Forces of Kenya (1978-2002),,1,Rioters (Kenya),,5,15,Kenya,Mombasa,Mvita,Tononoka,Mombasa,-4.05,39.66667,1,BBC Monitoring,Rioting students engage in running battles with police,0,,,,,,,,,,,
46814,501,462KEN,46816,1999-06-15,1999,1,Riots/Protests,Police Forces of Kenya (1978-2002),,1,Rioters (Kenya),,5,15,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,BBC Monitoring,Rioting students engage in running battles with police,0,,,,,,,,,,,
46815,501,463KEN,46817,1999-06-21,1999,1,Riots/Protests,Protesters (Kenya),,6,,,0,60,Kenya,Muranga,Mathioya,Kiru,Kiriaini,-0.6,36.95,1,All Africa,Farmers protest recent actions of Coffee Farmers company,0,,,,,,,,,,,
46816,501,464KEN,46818,1999-06-22,1999,1,Battle-No change of territory,Pokot Ethnic Militia (Kenya),,4,Turkana Ethnic Militia (Kenya),,4,44,Kenya,Turkana,Turkana East,Katilia,Katilia,2.11667,36.11667,1,Xinhua,Turkana fight back against Pokot militia,0,,,,,,,,,,,
46817,501,465KEN,46819,1999-06-22,1999,1,Violence against civilians,Pokot Ethnic Militia (Kenya),,4,Civilians (Kenya),Turkana Ethnic Group (Kenya),7,47,Kenya,Turkana,Turkana East,Katilia,Katilia,2.11667,36.11667,1,Xinhua,"Pokot raiders attack Turkana, kill civilians",0,,,,,,,,,,,
46818,501,466KEN,46820,1999-06-23,1999,1,Violence against civilians,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),,7,37,Kenya,Elgeyo-Marakwet,Keiyo North,Kapchemutwa,Iten,0.670173,35.507735,2,Xinhua,Three die in cattle rustling incident in Marakwet; no other information available,3,,,,,,,,,,,
46819,501,467KEN,46821,1999-06-24,1999,1,Battle-No change of territory,Abduwak Ethnic Militia (Kenya),,4,Auliyan Ethnic Militia (Kenya),,4,44,Kenya,Garissa,Garissa Township,Iftin,Garissa,-0.453568,39.646096,2,Reuters,Seven killed in ethnic clashes; no breakdown of death toll,7,,,,,,,,,,,
46820,501,468KEN,46822,1999-06-24,1999,1,Violence against civilians,Unidentified Ethnic Militia (Kenya),,4,Civilians (Kenya),,7,47,Kenya,Garissa,Garissa Township,Iftin,Modikare,-0.4569,39.6583,2,Reuters,Five youths killed in cold blood while grazing cattle; attack is ethnically motivated,5,,,,,,,,,,,
46821,501,469KEN,46823,1999-06-30,1999,1,Battle-No change of territory,Unidentified Armed Group (Somalia),,3,Military Forces of Kenya (1978-2002),,1,13,Kenya,Garissa,Daadab,Liboi,Liboi,0.35336,40.87232,1,Reuters,"Somali militiamen cross border and attack Kenyan army patrol, stealing weapons",0,,,,,,,,,,,
46822,501,470KEN,46824,1999-07-07,1999,1,Riots/Protests,Rioters (Kenya),,5,,,0,50,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,BBC Monitoring,Rioting matatu drivers clash with police,0,,,,,,,,,,,
46823,501,471KEN,46825,1999-07-07,1999,1,Riots/Protests,Protesters (Kenya),,6,,,0,60,Kenya,Nairobi,Starehe,Nairobi Central,Kamukunji,-1.286481,36.836651,1,The Globe and Mail,Thousands gather to protest delay in constitutional reform,0,,,,,,,,,,,
46824,501,472KEN,46826,1999-07-07,1999,1,Riots/Protests,Police Forces of Kenya (1978-2002),,1,Rioters (Kenya),,5,15,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,BBC Monitoring,Rioting matatu drivers clash with police,0,,,,,,,,,,,
46825,501,473KEN,46827,1999-07-08,1999,1,Riots/Protests,Rioters (Kenya),,5,,,0,50,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,BBC Monitoring,Rioting matatu drivers clash with police,0,,,,,,,,,,,
46826,501,474KEN,46828,1999-07-08,1999,1,Riots/Protests,Police Forces of Kenya (1978-2002),,1,Rioters (Kenya),,5,15,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,BBC Monitoring,Rioting matatu drivers clash with police,0,,,,,,,,,,,
46827,501,475KEN,46829,1999-07-23,1999,1,Battle-No change of territory,Borana Ethnic Militia (Kenya),,4,Somali Ethnic Militia (Kenya),,4,44,Kenya,Isiolo,Isiolo South,Garbatulla,Benane,0.5,38.66667,1,Reuters,Clashes between Borana and Somali ethnic groups,0,,,,,,,,,,,
46828,501,476KEN,46830,1999-07-23,1999,1,Battle-No change of territory,Borana Ethnic Militia (Kenya),,4,Somali Ethnic Militia (Kenya),,4,44,Kenya,Isiolo,Isiolo North,Bulla Pesa,Isiolo,0.35462,37.58218,3,Reuters,Clashes between Borana and Somali ethnic groups,0,,,,,,,,,,,
46829,501,477KEN,46831,1999-07-24,1999,1,Battle-No change of territory,Borana Ethnic Militia (Kenya),,4,Somali Ethnic Militia (Kenya),,4,44,Kenya,Isiolo,Isiolo South,Garbatulla,Benane,0.5,38.66667,1,Reuters,Clashes between Borana and Somali ethnic groups,0,,,,,,,,,,,
46830,501,478KEN,46832,1999-07-24,1999,1,Battle-No change of territory,Borana Ethnic Militia (Kenya),,4,Somali Ethnic Militia (Kenya),,4,44,Kenya,Isiolo,Isiolo North,Bulla Pesa,Isiolo,0.35462,37.58218,3,Reuters,Clashes between Borana and Somali ethnic groups,0,,,,,,,,,,,
46831,501,479KEN,46833,1999-07-25,1999,1,Battle-No change of territory,Borana Ethnic Militia (Kenya),,4,Somali Ethnic Militia (Kenya),,4,44,Kenya,Isiolo,Isiolo South,Garbatulla,Benane,0.5,38.66667,1,Reuters,Clashes between Borana and Somali ethnic groups,0,,,,,,,,,,,
46832,501,480KEN,46834,1999-07-25,1999,1,Battle-No change of territory,Borana Ethnic Militia (Kenya),,4,Somali Ethnic Militia (Kenya),,4,44,Kenya,Isiolo,Isiolo North,Bulla Pesa,Isiolo,0.35462,37.58218,3,Reuters,Clashes between Borana and Somali ethnic groups,0,,,,,,,,,,,
46833,501,481KEN,46835,1999-07-26,1999,1,Battle-No change of territory,Borana Ethnic Militia (Kenya),,4,Somali Ethnic Militia (Kenya),,4,44,Kenya,Isiolo,Isiolo South,Garbatulla,Benane,0.5,38.66667,1,Reuters,Clashes between Borana and Somali ethnic groups,0,,,,,,,,,,,
46834,501,482KEN,46836,1999-07-26,1999,1,Battle-No change of territory,Borana Ethnic Militia (Kenya),,4,Somali Ethnic Militia (Kenya),,4,44,Kenya,Isiolo,Isiolo North,Bulla Pesa,Isiolo,0.35462,37.58218,3,Reuters,Clashes between Borana and Somali ethnic groups,0,,,,,,,,,,,
46835,501,483KEN,46837,1999-07-27,1999,1,Battle-No change of territory,Borana Ethnic Militia (Kenya),,4,Somali Ethnic Militia (Kenya),,4,44,Kenya,Isiolo,Isiolo South,Garbatulla,Benane,0.5,38.66667,1,Reuters,Clashes between Borana and Somali ethnic groups,0,,,,,,,,,,,
46836,501,484KEN,46838,1999-07-27,1999,1,Battle-No change of territory,Borana Ethnic Militia (Kenya),,4,Somali Ethnic Militia (Kenya),,4,44,Kenya,Isiolo,Isiolo North,Bulla Pesa,Isiolo,0.35462,37.58218,3,Reuters,Clashes between Borana and Somali ethnic groups,0,,,,,,,,,,,
46837,501,485KEN,46839,1999-07-28,1999,1,Violence against civilians,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),,7,37,Kenya,Isiolo,Isiolo South,Garbatulla,Garba Tula,0.5333,38.52,2,BBC Monitoring,Armed group attacks civilians in automobile,0,,,,,,,,,,,
46838,501,486KEN,46840,1999-07-29,1999,1,Battle-No change of territory,Police Forces of Kenya (1978-2002),,1,Unidentified Armed Group (Kenya),,3,13,Kenya,Isiolo,Isiolo North,Bulla Pesa,Isiolo,0.35462,37.58218,1,BBC Monitoring,"Police storm bandit hide-out, battle ensues",0,,,,,,,,,,,
46839,501,487KEN,46841,1999-08-04,1999,2,Strategic development,SPM: Somali Patriotic Movement,,3,,,0,30,Kenya,Lamu,Lamu West,Shella,Lamu,-2.27169,40.90201,1,BBC Monitoring,"Somali faction leader reportedly in Lamu, Kenya and planning attacks in against allied forces in southern Somalia",0,,,,,,,,,,,
46840,501,488KEN,46842,1999-08-05,1999,2,Strategic development,OLF: Oromo Liberation Front,,2,,,0,20,Kenya,Wajir,Wajir North,Bute,Malab hills,3.38333,39.45,1,BBC Monitoring,OLF spotted in Kenya,0,,,,,,,,,,,
46841,501,489KEN,46843,1999-08-05,1999,1,Strategic development,OLF: Oromo Liberation Front,,2,,,0,20,Kenya,Busia,Teso North,Malaba Central,Malaba Hills,0.6328,34.2694,1,BBC Monitoring,OLF spotted in Kenya,0,,,,,,,,,,,
46842,501,490KEN,46844,1999-08-07,1999,1,Violence against civilians,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),Abduwak Ethnic Group (Kenya),7,37,Kenya,Tana River,Bura,Madogo,Mbalambala,-0.043056,39.07111,1,BBC Monitoring,"Armed bandits raid village, kill civilians and steal cattle",0,,,,,,,,,,,
46843,501,491KEN,46845,1999-08-09,1999,1,Violence against civilians,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),,7,37,Kenya,Marsabit,Saku,Marsabit Central,Marsabit,2.3333,37.9833,2,BBC Monitoring,Bandits attack civilians ferrying goods in Red Cross vehicle,0,,,,,,,,,,,
46844,501,492KEN,46846,1999-08-12,1999,1,Battle-No change of territory,Police Forces of Kenya (1978-2002),,1,Muslim Militia (Kenya),,4,14,Kenya,Kwale,Msambweni,Gombato Bongwe,Diani,-4.279213,39.594306,1,BBC Monitoring,Fight between police officer and youths at mosque leaves six dead,6,,,,,,,,,,,
46845,501,493KEN,46847,1999-08-13,1999,1,Strategic development,OLF: Oromo Liberation Front,,2,,,0,20,Kenya,Mandera,Mandera West,Dandu,Bulti Firiji,3.45,39.86667,2,BBC Monitoring,OLF spotted in Kenya,0,,,,,,,,,,,
46846,501,494KEN,46848,1999-08-13,1999,1,Strategic development,OLF: Oromo Liberation Front,,2,,,0,20,Kenya,Mandera,Mandera West,Dandu,Dandu,3.45,39.86667,1,BBC Monitoring,OLF spotted in Kenya,0,,,,,,,,,,,
46847,501,495KEN,46849,1999-08-15,1999,3,Headquarters or base established,OLF: Oromo Liberation Front,,2,,,0,20,Kenya,Wajir,Wajir North,Gurar,Mado-Godha,3.26667,39.58333,2,BBC Monitoring,Recent reports claim that OLF rebels have set up bases in Wajir district of Kenya,0,,,,,,,,,,,
46848,501,496KEN,46850,1999-08-15,1999,3,Headquarters or base established,OLF: Oromo Liberation Front,,2,,,0,20,Kenya,Busia,Teso North,Malaba Central,Malaba Hills,0.6328,34.2694,2,BBC Monitoring,Recent reports claim that OLF rebels have set up bases in Wajir district of Kenya,0,,,,,,,,,,,
46849,501,497KEN,46851,1999-08-15,1999,3,Headquarters or base established,OLF: Oromo Liberation Front,,2,,,0,20,Kenya,Wajir,Wajir East,Township,Wajir,1.75,40.06,2,BBC Monitoring,Recent reports claim that OLF rebels have set up bases in Wajir district of Kenya,0,,,,,,,,,,,
46850,501,498KEN,46852,1999-08-15,1999,3,Strategic development,OLF: Oromo Liberation Front,,2,,,0,20,Kenya,Wajir,Wajir East,Township,Wajir,1.75,40.06,2,BBC Monitoring,OLF said to be active in northeast Kenyan; Kenya denies this,0,,,,,,,,,,,
46851,501,499KEN,46853,1999-08-15,1999,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,8,OLF: Oromo Liberation Front,,2,28,Kenya,Mandera,Mandera West,Dandu,Dandu,3.45,39.86667,1,BBC Monitoring,OLF claims victory in battle with Ethiopian military,57,,,,,,,,,,,
46852,501,500KEN,46854,1999-08-16,1999,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,8,OLF: Oromo Liberation Front,,2,28,Kenya,Mandera,Mandera West,Dandu,Dandu,3.45,39.86667,1,BBC Monitoring,OLF claims victory in battle with Ethiopian military,95,,,,,,,,,,,
46853,501,501KEN,46855,1999-08-16,1999,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,8,OLF: Oromo Liberation Front,,2,28,Kenya,Mandera,Mandera West,Dandu,Taki,3.45,39.86667,2,BBC Monitoring,Ongoing clashes between Ethiopian military and OLF,0,,,,,,,,,,,
46854,501,502KEN,46856,1999-08-17,1999,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,8,OLF: Oromo Liberation Front,,2,28,Kenya,Mandera,Mandera West,Dandu,Dandu,3.45,39.86667,1,BBC Monitoring,Fighting reported between OLF and Ethiopian troops in northern Kenya,0,,,,,,,,,,,
46855,501,503KEN,46857,1999-08-17,1999,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,8,OLF: Oromo Liberation Front,,2,28,Kenya,Mandera,Mandera West,Dandu,Taki,3.45,39.86667,2,BBC Monitoring,Ongoing clashes between Ethiopian military and OLF,0,,,,,,,,,,,
46856,501,504KEN,46858,1999-08-18,1999,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,8,OLF: Oromo Liberation Front,,2,28,Kenya,Mandera,Mandera West,Dandu,Dandu,3.45,39.86667,1,BBC Monitoring,Fighting reported between OLF and Ethiopian troops in northern Kenya,1,,,,,,,,,,,
46857,501,505KEN,46859,1999-08-18,1999,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,8,OLF: Oromo Liberation Front,,2,28,Kenya,Mandera,Mandera West,Dandu,Taki,3.45,39.86667,2,BBC Monitoring,Ongoing clashes between Ethiopian military and OLF,0,,,,,,,,,,,
46858,501,506KEN,46860,1999-08-19,1999,1,Battle-No change of territory,Police Forces of Kenya (1978-2002),,1,OLF: Oromo Liberation Front,,2,12,Kenya,Marsabit,Moyale,Moyale Township,Moyale,3.509374,39.052757,2,BBC Monitoring,Police battle Ethiopian OLF at border areas,0,,,,,,,,,,,
46859,501,507KEN,46861,1999-08-21,1999,1,Battle-No change of territory,Pokot Ethnic Militia (Kenya),,4,Police Forces of Kenya (1978-2002),,1,14,Kenya,Isiolo,Isiolo North,Cherab,Merti,1.0667,38.6667,1,BBC Monitoring,Police battle Pokot raiders,0,,,,,,,,,,,
