"","EVENT_DATE","YEAR","EVENT_TYPE","PERPRETATORS","VICTIMS","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","NOTES","FATALITIES"
"1849","2007-05-10",2007,"Violence against civilians","Unidentified Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Nakuru","Kuresoi North","Kiptororo","Kuresoi",-0.301228,35.532125,"United Nations Office for the Coordination of Humanitarian Affairs (OCHA) 04/06/2007","5 killed in unspecified ethnic attack",5
"1850","2007-05-14",2007,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Nyeri","Nyeri Town","Rware","Nyeri",-0.41667,36.95,"The Nation, Kenya (MEWNAT), 22/05/2007","The two bodies were dumped in the River Chania.",0
"1851","2007-05-15",2007,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Nyeri","Nyeri Town","Rware","Nyeri",-0.41667,36.95,"The Nation, Kenya (MEWNAT), 22/05/2007","Youth take one of the bodies found at Kiwara town (floating in the River Chania) and parade it to Nyeri town dumping it at a bus terminus as a protest against the Mungiki who were blamed for the killings. (Mungiki are heavily involved in extortion on bus",0
"1852","2007-05-16",2007,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Kiambu","Kiambaa","Kihara","Gachie",-1.217535,36.768966,"All Africa (AFNWS), 17/05/2007","Police informant killed, Mungiki Sect (Militia) held responsible for the killing.",1
"1853","2007-05-17",2007,"Battle-No change of territory","Police Forces of Kenya (2002-2013)","Unidentified Armed Group (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"All Africa (AFNWS), 17/05/2007","6 killed in clashes between police forces and suspected Mungiki Sect (Militia) due to circulation of inflammatory leaflets before a series of criminal activity.",6
"1854","2007-05-17",2007,"Battle-No change of territory","Police Forces of Kenya (2002-2013)","Unidentified Armed Group (Kenya)","Kenya","Nairobi","Westlands","Parklands/Highridge","Westlands",-1.268175,36.809089,"All Africa (AFNWS), 17/05/2007","Clash during attempted bank robbery (Barclays). Plus two officers wounded. Suggested link to Mungiki Sect (Militia) due to circulation of inflammatory leaflets before a series of criminal activity.",2
"1855","2007-05-18",2007,"Battle-No change of territory","Police Forces of Kenya (2002-2013)","SLDF: Sabaot Land Defence Force","Kenya","Bungoma","Kanduyi","West SangAlo","Ekitale",0.556061,34.614422,"BBC Monitoring Africa (BBCAP), 18/05/2007","SDLF suspect killed when police encountered armed group of 8 during regular patrol.",1
"1856","2007-05-19",2007,"Battle-No change of territory","Samburu Ethnic Militia (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Laikipia","Laikipia West","Salama","Ol Moran",0.41667,36.75,"United Nations Office for the Coordination of Humanitarian Affairs (OCHA) 04/06/2007","9 cattle rustlers shot dead by polie during recovery operation following ethnic based raid. 160/200 animals reported to have been recovered",9
"1857","2007-05-19",2007,"Violence against civilians","Samburu Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Laikipia","Laikipia West","Salama","Ol Moran",0.41667,36.75,"United Nations Office for the Coordination of Humanitarian Affairs (OCHA) 04/06/2007","unknown number of casualties from ethnic based attack and raid - 200 animals were stolen",0
"1858","2007-05-20",2007,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Kiambu","Kiambu","Riabai","Kiambu",-1.16667,36.83333,"Agence France Presse","1 dismembered bodies found. Killings attributed to Mungiki Sect (Militia).",1
"1859","2007-05-20",2007,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Muranga","Kiharu","Township","Muranga",-0.7166,37.15,"Agence France Presse","3 dismembered bodies found. Killings attributed to Mungiki Sect (Militia).",3
"1860","2007-05-20",2007,"Violence against civilians","Samburu Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Laikipia","Laikipia West","Salama","Dam Samaki Village",0.41667,36.75,"BBC Monitoring Africa (BBCAP), 22/05/2007","700 rustlers from Samburu raided 1,400 animals stolen, 2 herdsmen injured.",0
"1861","2007-05-20",2007,"Violence against civilians","Unidentified Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Isiolo","Isiolo North","Wabera","Lapulshiki",0.35,37.5833,"United Nations Office for the Coordination of Humanitarian Affairs (OCHA) 04/06/2007","21 killed during a cattle raid incident, 6 injured, 460 displaced",21
"1862","2007-05-21",2007,"Battle-No change of territory","Pokot Ethnic Militia (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Samburu","Samburu West","Maralal","Maralal",1.09679,36.69799,"Reuters News (LBA), 22/05/2007, BBC Monitoring Africa (BBCAP), 30/05/2007","Raid: 350 animals stolen by a band of 500. Resulted in a three hour battle, 11 raiders confirmed dead, 20 later found in the bushes. Location: unidentified village near Maralal town. Dispute: later claimed that many killed were innocent civilians, 70 f",31
"1863","2007-05-21",2007,"Battle-No change of territory","Pokot Ethnic Militia (Kenya)","Samburu Ethnic Militia (Kenya)","Kenya","Samburu","Samburu West","Maralal","Maralal",1.09679,36.69799,"Reuters News (LBA), 22/05/2007","Raid: 350 animals stolen. 1 Child killed by raiders. Location: unidentified village near Maralal town. Samburu retaliated.",1
"1864","2007-05-21",2007,"Violence against civilians","Pokot Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Samburu","Samburu West","Maralal","Maralal",1.09679,36.69799,"Reuters News (LBA), 22/05/2007, BBC Monitoring Africa (BBCAP), 30/05/2007","Raid: 350 animals stolen by a band of 500. Resulted in a three hour battle, 11 raiders confirmed dead, 20 later found in the bushes. Location: unidentified village near Maralal town. Dispute: later claimed that many killed were innocent civilians, 70 f",0
"1865","2007-05-23",2007,"Violence against civilians","Orma Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Taita Taveta","Mwatate","Bura","Bullarik Village",-3.46667,38.28333,"The Nation, Kenya (MEWNAT), 25/05/2007","5 people seriously injured during raid including 2 schoolchildren, 300 animals stolen.",0
"1866","2007-05-27",2007,"Battle-No change of territory","Mungiki Militia","Police Forces of Kenya (2002-2013)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Associate Press Newswires (APRS), 28/05/2007","Clash in poor area in the north-eastern part of the city. Mungiki identification suspected.",0
"1867","2007-05-27",2007,"Violence against civilians","Police Forces of Kenya (2002-2013)","Civilians (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Associate Press Newswires (APRS), 28/05/2007","Elderly man and child caught in Mungiki/police in poor area in the north-easterh part of the city, RESPONSIBILITY NOT ESTABLISHED. (Fatalities recorded as Mungiki victims)",0
"1868","2007-05-27",2007,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Associate Press Newswires (APRS), 28/05/2007","Elderly man and child caught in Mungiki/police in poor area in the north-easterh part of the city, RESPONSIBILITY NOT ESTABLISHED. (Fatalities recorded as Mungiki victims)",2
"1869","2007-05-31",2007,"Battle-No change of territory","Nyabasi Ethnic Militia (Kenya)","Buirege Ethnic Militia (Kenya)","Kenya","Migori","Kuria West","Tagare","Kuria",-1.16667,34.45,"IRIN 25/06/2007","Ethnic violence during cattle raids - 2 killed from one group (late May) - followed by 2 killings during a retaliation attack",4
"1870","2007-06-01",2007,"Battle-No change of territory","Police Forces of Kenya (2002-2013)","SLDF: Sabaot Land Defence Force","Kenya","West Pokot","Kacheliba","Kasei","Kaptum",2.05,35.25,"BBC Monitoring Newsfile (BBCMNF), 01/06/2007","Four security officers killed. Linked with ongoing Soi/Ndorobo Chebyuk land dispute.",4
"1871","2007-06-02",2007,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Muranga","Kigumo","Muthithi","Karuri Market",-0.8333,37.0666,"Xinhau News Agency (XNEWS), 02/06/2007","Matatu driver and conductor killed on bus in relation to Mungiki extortion on the bus routes.",2
"1872","2007-06-04",2007,"Battle-No change of territory","Mungiki Militia","Police Forces of Kenya (2002-2013)","Kenya","Nairobi","Mathare","Mabatini","Mathare",-1.261413,36.860813,"Dow Jones International News (DJI), 05/06/2007","21 suspected Mungiki members killed during a search for the killers of police officers in the area. FATALITIES = TOTAL FOR 2 DAYS CONFLICT",21
"1873","2007-06-04",2007,"Battle-No change of territory","Mungiki Militia","Police Forces of Kenya (2002-2013)","Kenya","Nairobi","Mathare","Mabatini","Mathare",-1.261413,36.860813,"BBC Monitoring Newsfile (BBCMNF), 05/06/2007","Four police officers shot at and injured during standard patrol, 2 died instantly, 1 died later from injuries.",3
"1874","2007-06-04",2007,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Muranga","Kiharu","Township","Kiharu",-0.7166,37.15,"BBC Monitoring Newsfile (BBCMNF), 05/06/2007","4 slashed to deat including village elder. Killings attributed to Mungiki Sect (Militia).",4
"1875","2007-06-05",2007,"Headquarters or base established","Mungiki Militia","Unitentified","Kenya","Nairobi","Mathare","Mabatini","Mathare",-1.261413,36.860813,"BBC Monitoring Newsfile (BBCMNF), 05/06/2007","Kosovo area in Mathare slums identified as a Mungiki stronghold",0
"1876","2007-06-05",2007,"Battle-No change of territory","Police Forces of Kenya (2002-2013)","Mungiki Militia","Kenya","Muranga","Kiharu","Township","Kiharu",-0.7166,37.15,"Agence France Presse","2 suspected Mungiki members killed.",2
"1877","2007-06-06",2007,"Battle-No change of territory","Police Forces of Kenya (2002-2013)","Mungiki Militia","Kenya","Nairobi","Mathare","Mabatini","Mathare",-1.261413,36.860813,"Reuters News (LBA), 06/06/2007, Agence France Press (AFPR), 06/06/2007","Use of tear gas and whips during raid for Mungiki suspects, (10 suspects and 70 civilians arrested).",0
"1878","2007-06-06",2007,"Battle-No change of territory","Police Forces of Kenya (2002-2013)","Mungiki Militia","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Agence France Presse","1 suspected Mungiki member killed at the outskirts of the the capital.",1
"1879","2007-06-06",2007,"Riots/Protests","Police Forces of Kenya (2002-2013)","Protesters (Kenya)","Kenya","Nairobi","Mathare","Mabatini","Mathare",-1.261413,36.860813,"Reuters News (LBA), 06/06/2007, Agence France Press (AFPR), 06/06/2007","Use of tear gas and whips against people protesting a police raid for Mungiki suspects, (10 suspects and 70 civilians arrested).",0
"1880","2007-06-06",2007,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Muranga","Kiharu","Township","Kiharu",-0.7166,37.15,"Agence France Presse","4 civilians macheted to death and beheaded by Mungiki members.",4
"1881","2007-06-06",2007,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Nairobi","Mathare","Mabatini","Mathare",-1.261413,36.860813,"Reuters News (LBA), 06/06/2007","Severed and skinned head found. Assumed to be Mungiki victim.",0
"1882","2007-06-07",2007,"Battle-No change of territory","Police Forces of Kenya (2002-2013)","Mungiki Militia","Kenya","Nairobi","Mathare","Mabatini","Mathare",-1.261413,36.860813,"Agence France Presse","Shots fired by both sides, at least 12 suspected Mungiki members killed by police as they resisted arrest. (Due to accusations later made against the officers it can be assumed that many of the fatalities claimed to be suspected Mungiki were in fact civi",12
"1883","2007-06-07",2007,"Violence against civilians","Police Forces of Kenya (2002-2013)","Civilians (Kenya)","Kenya","Nairobi","Mathare","Mabatini","Mathare",-1.261413,36.860813,"BBC Monitoring Newsfile (BBCMNF), 07/06/2007","Civilians interviewed claim they were indiscriminately beaten by police during the raids.",0
"1884","2007-06-07",2007,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Nairobi","Mathare","Mabatini","Mathare",-1.261413,36.860813,"IRIN 07/06/2007","1 women and 4 children - victims of arson attack. Suspected Mungiki attack related to protection fee extortion by the group in the slums.",5
"1885","2007-06-08",2007,"Battle-No change of territory","Police Forces of Kenya (2002-2013)","Mungiki Militia","Kenya","Muranga","Kiharu","Township","Muranga",-0.7166,37.15,"Agence France Presse","Suspected Mungiki memebrs killed by police after they refused to cooperate and fired shots at the officers. Location: near Muranga town",12
"1886","2007-06-11",2007,"Violence against civilians","Unidentified Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Associate Press Newswires (APRS), 11/06/2007, BBC Monitoring Newsfile (BBCMNF), 11/06/2007","2 killed and more than 30 injured in bomb blast. Possible suicide bomber for Mungiki or Muslim group. Arabic leaflets were found at the sight.",2
"1887","2007-06-12",2007,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Muranga","Kandara","NgAraria","Kandara",-0.9,37,"All Africa (AFNWS), 12/06/2007","Narc Kenya supporters, led by parliamentary aspirants, staged demonstrations to protest at the abrupt cancellation of elections at the ward level",0
"1888","2007-06-16",2007,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"All Africa (AFNWS), 18/06/2007","Students from 7 Nairobi universities demand for he government to provide better security following the growing list of students being murdered in the city.",0
"1889","2007-06-18",2007,"Battle-No change of territory","MRC: Mombasa Republican Council","Police Forces of Kenya (2002-2013)","Kenya","Kwale","Matuga","Tsimba Golini","Kwale",-4.17375,39.45206,"Reuters (LBA), 20/06/2007","1 killed and 25 arrested during raid of Mombasa Republican Council training camp. (a little-known gang with about 800 followers looking to secede from Kenya a 10mile strip along the coast)",1
"1890","2007-06-21",2007,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"The Nation, Kenya (MEWNAT) 26/06/2007","3 civilians killed by suspected Mungiki members",3
"1891","2007-06-22",2007,"Battle-No change of territory","Mungiki Militia","Police Forces of Kenya (2002-2013)","Kenya","Nairobi","Kasarani","Kasarani","Kasarani",-1.22795,36.905423,"The Nation (Kenya), 24/06/2007","Suspected Mungiki members killed after carjacking.",1
"1892","2007-06-22",2007,"Battle-No change of territory","Mungiki Militia","Police Forces of Kenya (2002-2013)","Kenya","Nairobi","Mathare","Mabatini","Mathare",-1.261413,36.860813,"The Nation (Kenya), 24/06/2007","Suspected Mungiki member killed at slum",1
"1893","2007-06-22",2007,"Battle-No change of territory","Mungiki Militia","Police Forces of Kenya (2002-2013)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Associated Press Newswires (APRS), 22/06/2007","Police shot suspected Mungiki robbers a Electricity Generating Company Ltd. warehouse. It is suspected that they were seeking mateiral used for illegal electricity connections, a hallmark of the Mungiki Sect (Militia).",8
"1894","2007-06-22",2007,"Battle-No change of territory","Nyabasi Ethnic Militia (Kenya)","Buirege Ethnic Militia (Kenya)","Kenya","Migori","Kuria West","Tagare","Kuria",-1.16667,34.45,"IRIN 25/06/2007","Ongoing ethnic violence between the two ethnic groups (continuation from late May - included gunfire on 22/06/2007)",0
"1895","2007-06-22",2007,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Kiambu","Kiambu","Riabai","Banana Hill",-1.1666,36.8333,"Associated Press Newswires (APRS), 22/06/2007","Violence sparked by the arrest of the Mungiki founder. Attacks at the base of a lucrative matatu route. 3 civilians killed, including 2 beheaded",3
"1896","2007-06-22",2007,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Nairobi","Ruaraka","Baba Dogo","Kariobangi",-1.240741,36.880354,"Associated Press Newswires (APRS), 22/06/2007","Violence sparked by the arrest of the Mungiki founder. 5 civilians killed in a restaurant plus 1 truck driver and 2 passangers",8
"1897","2007-06-22",2007,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Associated Press Newswires (APRS), 22/06/2007","Violence sparked by the arrest of the Mungiki founder. 1 Civilian beheaded.",1
"1898","2007-06-22",2007,"Violence against civilians","Unidentified Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Bungoma","Mt. Elgon","Elgon","Chepyabayi Village",0.85,34.7167,"BBC Monitoring Africa (BBACP), 22/06/2007","Cattle rustling attacks. Villagers suspect the Dorobo people who they claim are teaming with the Sabini from Uganda.",5
"1899","2007-06-23",2007,"Battle-No change of territory","Mungiki Militia","Police Forces of Kenya (2002-2013)","Kenya","Muranga","Kiharu","Township","Kiharu",-0.7166,37.15,"The Nation (Kenya), 24/06/2007","Gang of 10 suspected Mingiki members confronted police and 2 were shot when they resisted arrest",2
"1900","2007-06-24",2007,"Battle-No change of territory","Mungiki Militia","Police Forces of Kenya (2002-2013)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Associated Press Newswires (APRS), 26/06/2007, The Nation, Kenya (MEWNAT), 26/06/2007","5 Mungiki suspects killed as they engaged in a shootout with police in the citys eastern neighbourhood know to be a stonghold for the Mungiki Sect (Militia)",5
"1901","2007-06-24",2007,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"The Nation (Kenya), 24/06/2007","2 severed heads with genitals found in separate bags/ consecutive days in downtown Nairobi, suspected victims of Mungiki violence. Assumed that they were killed elswhere and dumped in the city.",2
"1902","2007-06-25",2007,"Battle-No change of territory","Nyabasi Ethnic Militia (Kenya)","Buirege Ethnic Militia (Kenya)","Kenya","Migori","Kuria West","Tagare","Kuria",-1.16667,34.45,"IRIN 25/06/2007","People attacks and houses torched during several days of violence - attributed to ethnic rivalry",0
"1903","2007-06-26",2007,"Battle-No change of territory","Mungiki Militia","Police Forces of Kenya (2002-2013)","Kenya","Nairobi","Embakasi North","Dandora Area Ii","Dandora",-1.250046,36.900102,"Associated Press Newswires (APRS), 26/06/2007","1 Mungiki suspect killed by police",1
"1904","2007-06-26",2007,"Battle-No change of territory","Mungiki Militia","Police Forces of Kenya (2002-2013)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"BBC Monitoring Africa (BBCAP), 26/06/2007","2 Mungiki suspects killed as they attempted to extort money from matatu drivers (different locations reported for similar incident - possibly the same event)",2
"1905","2007-06-26",2007,"Battle-No change of territory","Mungiki Militia","Police Forces of Kenya (2002-2013)","Kenya","Nyeri","Nyeri Town","Rware","Nyeri",-0.41667,36.95,"Associated Press Newswires (APRS), 26/06/2007","2 Mungiki suspects killed by police",2
"1906","2007-06-26",2007,"Battle-No change of territory","Mungiki Militia","Police Forces of Kenya (2002-2013)","Kenya","Kiambu","Thika Town","Kamenu","Thika",-1.05,37.083333,"The Nation, Kenya (MEWNAT), 26/06/2007","2 Mungiki suspects killed as they attempted to extort money from matatu drivers (different locations reported for similar incident - possibly the same event)",2
"1907","2007-06-27",2007,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Nairobi","Kibra","Lindi","Kibera",-1.311658,36.789134,"BBC Monitoring Africa (BBCAP) 28/06/2007","4 civilians shot dead by suspected Mungiki members",4
"1908","2007-06-30",2007,"Remote violence","Military Forces of Uganda (1986-)","Pokot Ethnic Militia (Kenya)","Kenya","West Pokot","Kacheliba","Kiwawa","Alale",2.2333,35.0166,"All Africa (AFNWS) 03/07/2007, Reuters News (LBA) 05/07/2007, BBC Monitoring Newsfil (BBCMNF) 19/07/2007","Alleged shelling by Uganda Peoples Defence Force (UPDF) inside the Kenyan border linked to disarmament operation and pursuit of armed Pokot herders. Full casualty count unkonwn. 800 cattle impounded by UPDF. FATALITIES = TOTAL FOR 4 DAYS CONFLICT - (Rec",0
"1909","2007-07-01",2007,"Battle-No change of territory","Mungiki Militia","Police Forces of Kenya (2002-2013)","Kenya","Kiambu","Gatundu North","Chania","Gikui",-0.9333,36.9166,"BBC Monitoring Africa (BBCAP) 02/07/2007, Agence France Presse (AFPR) 03/07/2007","7 Mungiki members killed during raid (they were found taking an illegal oath), 5 more were later found dead in nearby bush.",7
"1910","2007-07-01",2007,"Remote violence","Military Forces of Uganda (1986-)","Pokot Ethnic Militia (Kenya)","Kenya","West Pokot","Kacheliba","Kiwawa","Alale",2.2333,35.0166,"All Africa (AFNWS) 03/07/2007, Reuters News (LBA) 05/07/2007, BBC Monitoring Newsfil (BBCMNF) 19/07/2007","Alleged shelling by Uganda Peoples Defence Force (UPDF) inside the Kenyan border linked to disarmament operation and pursuit of armed Pokot herders. Full casualty count unkonwn. 800 cattle impounded by UPDF. FATALITIES = TOTAL FOR 4 DAYS CONFLICT - (Rec",0
"1911","2007-07-02",2007,"Remote violence","Military Forces of Uganda (1986-)","Pokot Ethnic Militia (Kenya)","Kenya","West Pokot","Kacheliba","Kiwawa","Alale",2.2333,35.0166,"All Africa (AFNWS) 03/07/2007, Reuters News (LBA) 05/07/2007, BBC Monitoring Newsfil (BBCMNF) 19/07/2007","Alleged shelling by Uganda Peoples Defence Force (UPDF) inside the Kenyan border linked to disarmament operation and pursuit of armed Pokot herders. Full casualty count unkonwn. 800 cattle impounded by UPDF. FATALITIES = TOTAL FOR 4 DAYS CONFLICT - (Rec",0
"1912","2007-07-03",2007,"Remote violence","Military Forces of Uganda (1986-)","Pokot Ethnic Militia (Kenya)","Kenya","West Pokot","Kacheliba","Kiwawa","Alale",2.2333,35.0166,"All Africa (AFNWS) 03/07/2007, Reuters News (LBA) 05/07/2007, BBC Monitoring Newsfil (BBCMNF) 19/07/2007","Alleged shelling by Uganda Peoples Defence Force (UPDF) inside the Kenyan border linked to disarmament operation and pursuit of armed Pokot herders. Full casualty count unkonwn. 800 cattle impounded by UPDF. FATALITIES = TOTAL FOR 4 DAYS CONFLICT - (Rec",0
"1913","2007-07-03",2007,"Remote violence","Military Forces of Uganda (1986-)","Civilians (Kenya)","Kenya","West Pokot","Kacheliba","Kiwawa","Alale",2.2333,35.0166,"All Africa (AFNWS) 03/07/2007","1 civilian confirmed killed and 4 injured during alleged bombing by UPDF against armed Pokot herders within the Kenyan border. 2 women and 3 children missing, assumed to be abducted and held at Loro barracks.",1
"1914","2007-07-04",2007,"Battle-No change of territory","Unidentified Armed Group (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Xinhau News Agency (XNEWS), 05/07/2007","3 gansters killed by police, investigation began to determine any possible Mungiki links. Conclusion unkown",3
"1915","2007-07-05",2007,"Battle-No change of territory","Mungiki Militia","Police Forces of Kenya (2002-2013)","Kenya","Muranga","Kigumo","Muthithi","Muthithini",-0.816667,37.033333,"BBC Monitoring Africa (BBCAP) 06/07/2007","1 officer killed by suspected Mungiki member",1
"1916","2007-07-05",2007,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Machakos","Mavoko","Kinanie","Athi River Township",-1.4333,37.0333,"Agence France Presse","5 civilians killed by suspected Mungiki members",5
"1917","2007-07-07",2007,"Battle-No change of territory","Pokot Ethnic Militia (Kenya)","Police Forces of Kenya (2002-2013)","Kenya","Samburu","Samburu West","Maralal","Maralal",1.09679,36.69799,"Reuters (LBA) 08/07/2007, The Nation, Kenya (MEWNAT) 09/07/2007","Pokot tribe raided Samburu area, 14 raiders shot by police force response",14
"1918","2007-07-07",2007,"Violence against civilians","Pokot Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Samburu","Samburu West","Maralal","Maralal",1.09679,36.69799,"Reuters (LBA) 08/07/2007, The Nation, Kenya (MEWNAT) 09/07/2007","Pokot tribe raided Samburu area, 6 locals killed",6
"1919","2007-07-08",2007,"Battle-No change of territory","Mungiki Militia","Police Forces of Kenya (2002-2013)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Xinhua News (XNEWS) 09/07/2007","7 suspected Mungiki members killed in total by police in unidentified locations within Nairobi",7
"1920","2007-07-09",2007,"Battle-No change of territory","Mungiki Militia","Police Forces of Kenya (2002-2013)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Xinhua News (XNEWS) 09/07/2007","8 suspected Mungiki members killed in total by police in unidentified locations within Nairobi",8
"1921","2007-07-10",2007,"Battle-No change of territory","Mungiki Militia","Police Forces of Kenya (2002-2013)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Agence France Presse","3 suspected Mungiki members killed in total by police in unidentified locations within Nairobi",3
"1922","2007-07-16",2007,"Violence against civilians","Military Forces of Uganda (1986-)","Civilians (Kenya)","Kenya","West Pokot","Kacheliba","Kiwawa","Alale",2.2333,35.0166,"BBC Monitoring Newfile (BBCMNF) 19/07/2007","3 civilians killed bduring UPDF raid. 500 cattle were also confiscated and taken to the Ugandan barracks where it is said that 30 Pokot herdsmen were held.",3
"1923","2007-07-21",2007,"Battle-No change of territory","Military Forces of Uganda (1986-)","Pokot Ethnic Militia (Kenya)","Kenya","West Pokot","Pokot South","Chepareria","Bukwo",1.41667,35.25,"All Africa (AFNWS) 23/07/2007","Clash between Pokot warriors and UPDF. Unconfirmed bumber of cattle stolen",0
"1924","2007-07-24",2007,"Battle-No change of territory","Military Forces of Uganda (1986-)","Pokot Ethnic Militia (Kenya)","Kenya","West Pokot","Kacheliba","Suam","Kacheliba",1.48333,35.01667,"All Africa (AFNWS) 27/07/2007","UPDF forces entered Kenya in their raids for arms, involving artillery tanks and gunfire, 24 herdsmen captured and held by UPDF. 1 seniour UPDF officer killed. POKOT FATALITIES - ESTIMATE ONLY (Some casualties are likely to be civilians)",0
"1925","2007-07-24",2007,"Violence against civilians","Military Forces of Uganda (1986-)","Civilians (Kenya)","Kenya","West Pokot","Kacheliba","Suam","Kacheliba",1.48333,35.01667,"All Africa (AFNWS) 27/07/2007","UPDF forces entered Kenya in their raids for arms, involving artillery tanks and gunfire",11
"1926","2007-07-25",2007,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"BBC Monitoring Africa (BBCAP) 02/08/2007","Close aide of opposition leader Raila Odinga killed by knife wound. Murder covered up by hit-and run incident",1
"1927","2007-07-26",2007,"Violence against civilians","SLDF: Sabaot Land Defence Force","Civilians (Kenya)","Kenya","Bungoma","Mt. Elgon","Cheptais","Cheptais",0.809898,34.456429,"The Nation, Kenya (MEWNAT) 27/07/2007","1 civilian shot dead by suspected SLDF",1
"1928","2007-07-26",2007,"Violence against civilians","Military Forces of Uganda (1986-)","Civilians (Kenya)","Kenya","West Pokot","Kapenguria","Kapenguria","Kapenguria",1.23333,35.11667,"The Nation, Kenya (MEWNAT) 27/07/2007","2 civilians found wounded from UPDF village raids on the Uganda-Kenya border",0
"1929","2007-07-30",2007,"Battle-No change of territory","Samburu Ethnic Militia (Kenya)","Pokot Ethnic Militia (Kenya)","Kenya","Turkana","Turkana South","Lokichar","Lokichar",2.3833,35.65,"BBC Monitoring Africa (BBCAP) 31/07/2007","7 suspected Pokot raiders killed and many injured during five hour gun battle. Police confronted gang of over 500 cattle rustlers who had stolen 1,000+ animals",7
"1930","2007-07-30",2007,"Violence against civilians","Samburu Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Turkana","Turkana South","Lokichar","Lokichar",2.3833,35.65,"BBC Monitoring Africa (BBCAP) 31/07/2007","5 suspected innocent Pokot herdsman killed and more injured during confrontation between police forces and Pokot rustlers",5
"1931","2007-07-31",2007,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"BBC Monitoring Newsfile (BBCMNF) 31/07/2007, Global Insight Daily Analysis (WDAN) 01/08/2007","Thousands of civil society Activists protest against plans by MPs to award themselves large pay increases before the dissolution of parliament ahead of the December general elections. Police claim to be uninformed about the protest and intervene to s",0
